Date,Adj Close
1/1/1997,19.47
2/1/1997,21.1
3/1/1997,22.14
4/1/1997,20.06
5/1/1997,19.19
6/1/1997,21.53
7/1/1997,21.48
8/1/1997,24.76
9/1/1997,22.91
10/1/1997,35.09
11/1/1997,27.43
12/1/1997,24.01
1/1/1998,21.47
2/1/1998,18.55
3/1/1998,24.22
4/1/1998,21.18
5/1/1998,21.32
6/1/1998,19.71
7/1/1998,24.8
8/1/1998,44.28
9/1/1998,40.95
10/1/1998,28.05
11/1/1998,26.01
12/1/1998,24.42
1/1/1999,26.25
2/1/1999,27.88
3/1/1999,23.26
4/1/1999,25.07
5/1/1999,25.39
6/1/1999,21.09
7/1/1999,24.64
8/1/1999,24.45
9/1/1999,25.41
10/1/1999,22.2
11/1/1999,24.18
12/1/1999,24.64
1/1/2000,24.95
2/1/2000,23.37
3/1/2000,24.11
4/1/2000,26.2
5/1/2000,23.65
6/1/2000,19.54
7/1/2000,20.74
8/1/2000,16.84
9/1/2000,20.57
10/1/2000,23.63
11/1/2000,29.65
12/1/2000,26.85
1/1/2001,22.02
2/1/2001,28.35
3/1/2001,28.64
4/1/2001,25.48
5/1/2001,22.64
6/1/2001,19.06
7/1/2001,21.62
8/1/2001,24.92
9/1/2001,31.93
10/1/2001,33.56
11/1/2001,23.84
12/1/2001,23.8
1/1/2002,21.09
2/1/2002,21.59
3/1/2002,17.4
4/1/2002,21.91
5/1/2002,19.98
6/1/2002,25.4
7/1/2002,32.03
8/1/2002,32.64
9/1/2002,39.69
10/1/2002,31.14
11/1/2002,27.5
12/1/2002,28.62
1/1/2003,31.17
2/1/2003,29.63
3/1/2003,29.15
4/1/2003,21.21
5/1/2003,19.47
6/1/2003,19.52
7/1/2003,19.49
8/1/2003,18.63
9/1/2003,22.72
10/1/2003,16.1
11/1/2003,16.32
12/1/2003,18.31
1/1/2004,16.63
2/1/2004,14.55
3/1/2004,16.74
4/1/2004,17.19
5/1/2004,15.5
6/1/2004,14.34
7/1/2004,15.32
8/1/2004,15.29
9/1/2004,13.34
10/1/2004,16.27
11/1/2004,13.24
12/1/2004,13.29
1/1/2005,12.82
2/1/2005,12.08
3/1/2005,14.02
4/1/2005,15.31
5/1/2005,13.29
6/1/2005,12.04
7/1/2005,11.57
8/1/2005,12.6
9/1/2005,11.92
10/1/2005,15.32
11/1/2005,12.06
12/1/2005,12.07
1/1/2006,12.95
2/1/2006,12.34
3/1/2006,11.39
4/1/2006,11.59
5/1/2006,16.44
6/1/2006,13.08
7/1/2006,14.95
8/1/2006,12.31
9/1/2006,11.98
10/1/2006,11.1
11/1/2006,10.91
12/1/2006,11.56
1/1/2007,10.42
2/1/2007,15.42
3/1/2007,14.64
4/1/2007,14.22
5/1/2007,13.05
6/1/2007,16.23
7/1/2007,23.52
8/1/2007,23.38
9/1/2007,18
10/1/2007,18.53
11/1/2007,22.87
12/1/2007,22.5
1/1/2008,26.2
2/1/2008,26.54
3/1/2008,25.61
4/1/2008,20.79
5/1/2008,17.83
6/1/2008,23.95
7/1/2008,22.94
8/1/2008,20.65
9/1/2008,39.39
10/1/2008,59.89
11/1/2008,55.28
12/1/2008,40
1/1/2009,44.84
2/1/2009,46.35
3/1/2009,44.14
4/1/2009,36.5
5/1/2009,28.92
6/1/2009,26.35
7/1/2009,25.92
8/1/2009,26.01
9/1/2009,25.61
10/1/2009,30.69
11/1/2009,24.51
12/1/2009,21.68
1/1/2010,24.62
2/1/2010,19.5
3/1/2010,17.59
4/1/2010,22.05
5/1/2010,32.07
6/1/2010,34.54
7/1/2010,23.5
8/1/2010,26.05
9/1/2010,23.7
10/1/2010,21.2
11/1/2010,23.54
12/1/2010,17.75
1/1/2011,19.53
2/1/2011,18.35
3/1/2011,17.74
4/1/2011,14.75
5/1/2011,15.45
6/1/2011,16.52
7/1/2011,25.25
8/1/2011,31.62
9/1/2011,42.96
10/1/2011,29.96
11/1/2011,27.8
12/1/2011,23.4
1/1/2012,19.44
2/1/2012,18.43
3/1/2012,15.5
4/1/2012,17.15
5/1/2012,24.06
6/1/2012,17.08
7/1/2012,18.93
8/1/2012,17.47
9/1/2012,15.73
10/1/2012,18.6
11/1/2012,15.87
12/1/2012,18.02
1/1/2013,14.28
2/1/2013,15.51
3/1/2013,12.7
4/1/2013,13.52
5/1/2013,16.3
6/1/2013,16.86
7/1/2013,13.45
8/1/2013,17.01
9/1/2013,16.6
10/1/2013,13.75
11/1/2013,13.7
12/1/2013,13.72
1/1/2014,18.41
2/1/2014,14
3/1/2014,13.88
4/1/2014,13.41
5/1/2014,11.4
6/1/2014,11.57
7/1/2014,16.95
8/1/2014,12.09
9/1/2014,16.31
10/1/2014,14.03
11/1/2014,13.33
12/1/2014,19.2
1/1/2015,20.97
2/1/2015,13.34
3/1/2015,15.29
4/1/2015,14.55
5/1/2015,13.84
6/1/2015,18.23
7/1/2015,12.12
8/1/2015,28.43
9/1/2015,24.5
10/1/2015,15.07
11/1/2015,16.13
12/1/2015,18.21
1/1/2016,20.2
2/1/2016,20.55
3/1/2016,13.95
4/1/2016,15.7
5/1/2016,14.19
6/1/2016,15.63
7/1/2016,11.87
8/1/2016,13.42
9/1/2016,13.29
10/1/2016,17.06
11/1/2016,13.33
12/1/2016,14.04
1/1/2017,11.99
2/1/2017,12.92
3/1/2017,12.37
4/1/2017,10.82
5/1/2017,10.41
6/1/2017,11.18
7/1/2017,10.26
8/1/2017,10.59
9/1/2017,9.51
10/1/2017,10.18
11/1/2017,11.28
12/1/2017,11.04
1/1/2018,13.54
2/1/2018,19.85
3/1/2018,19.97
4/1/2018,15.93
5/1/2018,15.43
6/1/2018,16.09
7/1/2018,12.83
8/1/2018,12.86
9/1/2018,12.12
10/1/2018,21.23
